num_of_intervals,total_time,target_state_seed,init_seed,final_cost
2,4.0,4,7,-0.9779230353007629
2,4.0,4,5,-0.9995496242240336
2,4.0,4,2,-0.4634350143756658
2,4.0,4,9,-0.9395657070244284
2,4.0,4,0,-0.8694515951376711
2,4.0,4,1,-0.9601362665516898
2,4.0,4,3,-0.6433087147604002
2,4.0,4,4,-0.9776202301118804
2,4.0,4,6,-0.7726610547816315
2,4.0,4,8,-0.4753810975289549
2,4.0,6,7,-0.7350659701005093
2,4.0,6,5,-0.9405260039909278
2,4.0,6,2,-0.8735470118833152
2,4.0,6,9,-0.8567138577616654
2,4.0,6,0,-0.7512210700840584
2,4.0,6,1,-0.7220498099075378
2,4.0,6,3,-0.9754207341119968
2,4.0,6,4,-0.988519704275896
2,4.0,6,6,-0.7106517112528633
2,4.0,6,8,-0.7444192678854069
2,4.0,0,7,-0.9451056157058256
2,4.0,0,5,-0.6395443076211415
2,4.0,0,2,-0.927686155074857
2,4.0,0,9,-0.9805550654050276
2,4.0,0,0,-0.7010374386907253
2,4.0,0,1,-0.9415687483588988
2,4.0,0,3,-0.8907381596271844
2,4.0,0,4,-0.9624618505841082
2,4.0,0,6,-0.4596196063856095
2,4.0,0,8,-0.6574930912024124
2,4.0,7,7,-0.7876781702034468
2,4.0,7,5,-0.9782086861337406
2,4.0,7,2,-0.9733865017254352
2,4.0,7,9,-0.7875956530375868
2,4.0,7,0,-0.9783327110097736
2,4.0,7,1,-0.601375228589483
2,4.0,7,3,-0.9433263399175382
2,4.0,7,4,-0.9787236286816988
2,4.0,7,6,-0.9787022681948084
2,4.0,7,8,-0.4076162229438062
2,4.0,3,7,-0.9965909792578098
2,4.0,3,5,-0.9801379123197744
2,4.0,3,2,-0.2510063695191675
2,4.0,3,9,-0.9860201017690914
2,4.0,3,0,-0.4060173239302461
2,4.0,3,1,-0.989896859726337
2,4.0,3,3,-0.9992712675834204
2,4.0,3,4,-0.2572746884600403
2,4.0,3,6,-0.831646151741935
2,4.0,3,8,-0.9994947999002954
2,4.0,9,7,-0.95985759817603
2,4.0,9,5,-0.4966663210777218
2,4.0,9,2,-0.7957314778922517
2,4.0,9,9,-0.8874149990869062
2,4.0,9,0,-0.7248334860951866
2,4.0,9,1,-0.9993493786501096
2,4.0,9,3,-0.9433345591215307
2,4.0,9,4,-0.7199169997559964
2,4.0,9,6,-0.8592679061226242
2,4.0,9,8,-0.9914207776699262
2,4.0,1,7,-0.8502393251990269
2,4.0,1,5,-0.9146293348048368
2,4.0,1,2,-0.9793488648590288
2,4.0,1,9,-0.9793488648590288
2,4.0,1,0,-0.9824721258383888
2,4.0,1,1,-0.8083816014891997
2,4.0,1,3,-0.9793488648590288
2,4.0,1,4,-0.0925824328680612
2,4.0,1,6,-0.9793488648590288
2,4.0,1,8,-0.9831287655677275
2,4.0,2,7,-0.8890254855953219
2,4.0,2,5,-0.7367720764881398
2,4.0,2,2,-0.9319263824342442
2,4.0,2,9,-0.9093737429488068
2,4.0,2,0,-0.9284739368811078
2,4.0,2,1,-0.9043224929756698
2,4.0,2,3,-0.9365657580131604
2,4.0,2,4,-0.8854895180811989
2,4.0,2,6,-0.918222322019512
2,4.0,2,8,-0.8711334073571184
2,4.0,5,7,-0.825887179896647
2,4.0,5,5,-0.8258575678851215
2,4.0,5,2,-0.989394031183536
2,4.0,5,9,-0.9943142918867616
2,4.0,5,0,-0.9985355014037536
2,4.0,5,1,-0.99964455911578
2,4.0,5,3,-0.9965071514339278
2,4.0,5,4,-0.9902390383078002
2,4.0,5,6,-0.9980882685878336
2,4.0,5,8,-0.8432984728786678
2,4.0,8,7,-0.9430837963114468
2,4.0,8,5,-0.9279569458630684
2,4.0,8,2,-0.7785190933112137
2,4.0,8,9,-0.9879729520958112
2,4.0,8,0,-0.9375701701761276
2,4.0,8,1,-0.8594593720818807
2,4.0,8,3,-0.780640787588446
2,4.0,8,4,-0.9221833216273764
2,4.0,8,6,-0.9232862803961844
2,4.0,8,8,-0.3323966797817105
2,9.0,4,7,-0.9620380910988184
2,9.0,4,5,-0.2794208190110154
2,9.0,4,2,-0.9676866853712796
2,9.0,4,9,-0.9131306679241942
2,9.0,4,0,-0.6768895565837537
2,9.0,4,1,-0.9957826767764604
2,9.0,4,3,-0.8485612817982283
2,9.0,4,4,-0.70862355281053
2,9.0,4,6,-0.846964147733858
2,9.0,4,8,-0.9809215246812456
2,9.0,6,7,-0.6937472270517868
2,9.0,6,5,-0.6754082092703452
2,9.0,6,2,-0.543834967280477
2,9.0,6,9,-0.776743433162646
2,9.0,6,0,-0.9389429565353432
2,9.0,6,1,-0.8237293619887874
2,9.0,6,3,-0.5007494931277717
2,9.0,6,4,-0.5857674559951972
2,9.0,6,6,-0.7279964232885047
2,9.0,6,8,-0.7996080576943397
2,9.0,0,7,-0.9466450750381106
2,9.0,0,5,-0.9527277792292376
2,9.0,0,2,-0.1901832523988886
2,9.0,0,9,-0.9619356421971792
2,9.0,0,0,-0.93549033529287
2,9.0,0,1,-0.9052381847064156
2,9.0,0,3,-0.9327467692818598
2,9.0,0,4,-0.8442952472128546
2,9.0,0,6,-0.4274308043864172
2,9.0,0,8,-0.8416172156114532
2,9.0,7,7,-0.3164643444403655
2,9.0,7,5,-0.9944801879961326
2,9.0,7,2,-0.7630768270954077
2,9.0,7,9,-0.7253564527268183
2,9.0,7,0,-0.9188317231106996
2,9.0,7,1,-0.999698269693002
2,9.0,7,3,-0.9188317231106996
2,9.0,7,4,-0.7665559139444594
2,9.0,7,6,-0.9625563770819764
2,9.0,7,8,-0.999698269693002
2,9.0,3,7,-0.7989028928533967
2,9.0,3,5,-0.416495636999654
2,9.0,3,2,-0.7582966560261359
2,9.0,3,9,-0.9954818142496572
2,9.0,3,0,-0.9440209321693976
2,9.0,3,1,-0.5627928817952638
2,9.0,3,3,-0.7539179762987052
2,9.0,3,4,-0.9798479581052996
