num_of_intervals,total_time,avg_fidelity
1,1.0,0.495633150945721
1,2.0,0.40706193222460685
1,3.0,0.4634295944455549
1,4.0,0.28022316207535136
1,5.0,0.23136976798099199
1,6.0,0.4192915438062116
1,7.0,0.2934301172575978
1,8.0,0.2688903825649916
1,9.0,0.4269395270395395
1,10.0,0.34945650063478734
2,1.0,0.5708936027380037
2,2.0,0.6252757788662768
2,3.0,0.5340160355885473
2,4.0,0.4776604002577868
2,5.0,0.3200872405517973
2,6.0,0.4749225965369468
2,7.0,0.38559851390423255
2,8.0,0.22502378749620905
2,9.0,0.2688485708643932
2,10.0,0.1819274341662958
3,1.0,0.6334404596771993
3,2.0,0.7173089344634269
3,3.0,0.8346944562876468
3,4.0,0.6727026030775543
3,5.0,0.5216414227950483
3,6.0,0.5851495812759333
3,7.0,0.439662344177335
3,8.0,0.3884235666984127
3,9.0,0.449126068445261
3,10.0,0.45601229301109597
4,1.0,0.634458817586279
4,2.0,0.7668006055211758
4,3.0,0.8444889259191031
4,4.0,0.7959033296073154
4,5.0,0.8349059797211338
4,6.0,0.8193283463827697
4,7.0,0.7367365205566873
4,8.0,0.7268137080664101
4,9.0,0.5110370156079537
4,10.0,0.5116430453964276
5,1.0,0.6490580057080382
5,2.0,0.7821252947658676
5,3.0,0.8636323170387497
5,4.0,0.9213071385882083
5,5.0,0.8733935059924152
5,6.0,0.836488177086253
5,7.0,0.8523650052199528
5,8.0,0.81487237754375
5,9.0,0.8293367109058938
5,10.0,0.7087908518336788
6,1.0,0.6732091316337393
6,2.0,0.8121190415415527
6,3.0,0.8845322793677731
6,4.0,0.9161406715839526
6,5.0,0.9338148616604972
6,6.0,0.9068885597901545
6,7.0,0.9361433552021149
6,8.0,0.8553433424688877
6,9.0,0.9009771121620336
6,10.0,0.9112058495843849
7,1.0,0.6812837162261824
7,2.0,0.7985994117918106
7,3.0,0.932015166968009
7,4.0,0.9433642330809476
7,5.0,0.9684009622472093
7,6.0,0.9444084400392573
7,7.0,0.9672885262684175
7,8.0,0.9545102081788149
7,9.0,0.9353585274817451
7,10.0,0.908883385478337
8,1.0,0.6850253372800336
8,2.0,0.8343174621248883
8,3.0,0.9277981405937542
8,4.0,0.9614586070556159
8,5.0,0.964668131167862
8,6.0,0.9554490219410621
8,7.0,0.9170665657860235
8,8.0,0.9679367265387591
8,9.0,0.9547740688569363
8,10.0,0.9378931785812081
9,1.0,0.692263956350619
9,2.0,0.8170537458287983
9,3.0,0.9288115859789642
9,4.0,0.972756086256703
9,5.0,0.9677291998807875
9,6.0,0.9781585145714727
9,7.0,0.9837444624222338
9,8.0,0.9840479299670744
9,9.0,0.9687972841422046
9,10.0,0.9620181305817604
10,1.0,0.6870757791713835
10,2.0,0.8554244341682287
10,3.0,0.947260334345543
10,4.0,0.9901767819585414
10,5.0,0.9878554947202206
10,6.0,0.9893927375887062
10,7.0,0.9785754229992273
10,8.0,0.9778117784158926
10,9.0,0.9771478645441223
10,10.0,0.9754513612460901
