unitary
"Operator([[ 0.85030065-0.2171174j ,  0.209158  -0.43139515j],
          [-0.39037527-0.27830918j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.47941408+0.00331534j],
          [-0.41913598+0.23275283j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.11861178+0.46452136j],
          [0.11861178+0.46452136j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.25298664+0.40724269j],
          [-0.02677412+0.47867734j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.20507432+0.43335132j],
          [ 0.38772934+0.2819837j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.47605605+0.05674047j],
          [ 0.44498132-0.17843898j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.42039194-0.2304766j ],
          [-0.479425  -0.00071562j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.11861178+0.46452136j],
          [0.11861178+0.46452136j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.47506344-0.06452576j],
          [ 0.3859721 -0.28438422j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.43837174-0.19411097j],
          [ 0.29164564-0.380515j  ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
