,unitary
0,"Operator([[ 0.96939523-0.10815603j,  0.08462608-0.2035033j ],
          [-0.1273968 -0.17984777j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[0.96939523-0.10815603j, 0.02443828+0.21903866j],
          [0.02443828+0.21903866j, 0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.96939523-0.10815603j,  0.17842174-0.12938642j],
          [-0.20255084-0.08688107j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.96939523-0.10815603j, -0.12615343+0.1807221j ],
          [ 0.16288207+0.14847422j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.96939523-0.10815603j,  0.17936491-0.12807574j],
          [-0.20318194-0.08539475j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.96939523-0.10815603j,  0.21928403-0.02212866j],
          [-0.21876897+0.02674518j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.96939523-0.10815603j, -0.1306263 +0.17751602j],
          [ 0.16653834+0.14436117j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.96939523-0.10815603j,  0.22000022+0.01323129j],
          [-0.21167429+0.06139349j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.96939523-0.10815603j,  0.20074742-0.09097054j],
          [-0.21586076-0.04448931j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[0.96939523-0.10815603j, 0.04484551+0.21578704j],
          [0.00381621+0.2203647j , 0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
