unitary
"Operator([[ 9.61352645e-01-0.1207989j ,  6.20126873e-02+0.23950605j],
          [-8.30119233e-04+0.24740257j,  9.61352645e-01-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.18901043+0.15963639j],
          [ 0.22262922+0.10791176j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.23245349+0.08470001j],
          [ 0.2461822 +0.02455698j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.22480988-0.10329199j],
          [ 0.19226624-0.15569975j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.17036998-0.17939562j],
          [ 0.1206904 -0.21596885j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.17791794-0.17191255j],
          [ 0.12985506-0.21058581j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.05659391-0.24084403j],
          [-0.00475122-0.24735833j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.10376957-0.22458984j],
          [ 0.04497921-0.24328089j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.07544557-0.23561979j],
          [-0.13139342-0.20962941j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.00897112-0.24724125j],
          [-0.05247624-0.24177461j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
