unitary
"Operator([[ 0.94460909-0.1427637j, -0.25203432-0.1543078j],
          [ 0.19517651-0.2218971j,  0.94460909-0.1427637j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.17392968-0.23891559j],
          [-0.23676575-0.17684505j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.24939393-0.15853978j],
          [-0.28510683-0.07775789j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.29142752-0.0490122j ],
          [-0.29289544+0.03929958j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.21955574+0.19780665j],
          [ 0.26820547+0.12408875j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.23838573+0.17465519j],
          [ 0.27935272+0.09640668j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.2412713 -0.17064687j],
          [-0.28092487-0.09172463j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.24122529+0.17071189j],
          [ 0.28090014+0.09180035j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.16292797+0.24654953j],
          [-0.08279066+0.28368627j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
