unitary
"Operator([[ 0.94460909-0.1427637j , -0.23017743-0.185339j  ],
          [ 0.16512548-0.24508319j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.06927022+0.28728702j],
          [ 0.15107549+0.25398502j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.26079516+0.13898948j],
          [-0.20807294+0.20985196j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.21718022+0.20041194j],
          [ 0.26670597+0.12727969j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.07602841-0.28557289j],
          [-0.15702527-0.25035027j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.15393083-0.25226472j],
          [ 0.07250642-0.28648737j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.27915451+0.09697913j],
          [ 0.29534578+0.0101519j ,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.02494358-0.29446563j],
          [-0.06319103-0.2886851j ,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.08823477-0.28204045j],
          [ 0.00094524-0.29551869j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.22989679+0.18568699j],
          [-0.16475453+0.24533271j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
