unitary
"Operator([[ 8.77750529e-01-0.20089548j,  1.89301357e-01+0.39161207j],
          [-1.18105876e-04+0.43496552j,  8.77750529e-01-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.87775053-0.20089548j,  0.38128104-0.20933176j],
          [-0.43437551-0.02264806j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.87775053-0.20089548j, -0.38277082+0.20659506j],
          [ 0.4345266 +0.01953581j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.87775053-0.20089548j, -0.43186761-0.05182071j],
          [ 0.36633371-0.23450933j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.87775053-0.20089548j, 0.09704358+0.42400184j],
          [0.09704358+0.42400184j, 0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.87775053-0.20089548j, -0.40289005-0.1639348j ],
          [ 0.29147519-0.32285791j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.87775053-0.20089548j, -0.27729613-0.33511471j],
          [ 0.10392715-0.42236733j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.87775053-0.20089548j,  0.33169267-0.28138051j],
          [-0.42106252-0.10909338j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.87775053-0.20089548j, -0.43173527-0.05291192j],
          [ 0.36573991-0.23543435j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.87775053-0.20089548j,  0.38809483+0.19641135j],
          [-0.2640267 +0.34566591j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
