unitary
"Operator([[ 0.97517033-0.0978434j , -0.164885  -0.11082616j],
          [ 0.13958052-0.14137461j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.12910929-0.15099766j],
          [ 0.09653709-0.17363782j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.1457639 -0.13499032j],
          [ 0.11603989-0.16125832j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.04904998+0.1925191j ],
          [-0.0098246 +0.19842626j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.10948929-0.16577575j],
          [ 0.07437224-0.18422343j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
