unitary
"Operator([[ 0.97517033-0.0978434j , -0.16443194+0.11149727j],
          [ 0.18330533+0.07660716j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.16701526-0.10758907j],
          [-0.18506072-0.07226364j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.1468145 -0.13384694j],
          [ 0.11729671-0.16034646j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.19785857+0.01793007j],
          [ 0.19747673-0.02173577j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.19478113-0.03911284j],
          [ 0.18312795-0.07703023j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
