unitary
"Operator([[ 0.97517033-0.0978434j ,  0.1944279 -0.04083253j],
          [-0.19866446-0.00139174j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.18552986-0.0710505j ],
          [-0.19594717-0.03277513j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.15731284+0.12133496j],
          [ 0.1782826 +0.0876631j ,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.17484398+0.09433497j],
          [-0.15261728+0.12719068j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.04263944-0.19403964j],
          [ 0.00323976-0.19864291j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
