unitary
"Operator([[9.61352645e-01-0.1207989j , 6.11957868e-02+0.23971607j],
          [1.33470787e-05+0.24740396j, 9.61352645e-01-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.23029413-0.09040649j],
          [-0.24550176-0.03062029j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.24739816-0.00169438j],
          [ 0.23928795-0.06284899j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.19781601-0.14858514j],
          [ 0.15490584-0.19290645j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.07958007+0.2342557j ],
          [-0.01915033+0.24666168j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
