unitary
"Operator([[0.96135264-0.1207989j , 0.03080628+0.2454785j ],
          [0.03088376+0.24546876j, 0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.0874668 -0.23142662j],
          [-0.14200353-0.20259249j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.01464487+0.24697013j],
          [ 0.07529099+0.23566923j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.19444205-0.15297388j],
          [-0.22624366-0.10011256j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.07194534-0.23671203j],
          [-0.12827223-0.21155367j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
