unitary
"Operator([[0.92502524-0.16355243j, 0.03477298+0.3411301j ],
          [0.08430798+0.33237189j, 0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j,  0.08212047-0.33291911j],
          [-0.19129897-0.2845762j ,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j, -0.00500127+0.34286133j],
          [ 0.12226446+0.32035966j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j,  0.27985997-0.19813456j],
          [-0.33083272-0.09015883j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j,  0.00451317-0.34286811j],
          [-0.12180827-0.32053339j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
