unitary
"Operator([[0.9027011 -0.18298657j, 0.07376473+0.38236816j],
          [0.08095936+0.38090974j, 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9027011 -0.18298657j, -0.32052787-0.22115272j],
          [ 0.20910479-0.32851458j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9027011 -0.18298657j,  0.29548602-0.25364278j],
          [-0.3709338 -0.11855279j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9027011 -0.18298657j,  0.38926992-0.01075045j],
          [-0.36272776+0.14168703j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9027011 -0.18298657j,  0.38387731-0.06545879j],
          [-0.37906527+0.08919733j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
