unitary
"Operator([[ 0.9027011-0.18298657j,  0.1837656-0.34333198j],
          [-0.3029591-0.244668j  ,  0.9027011-0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9027011 -0.18298657j, -0.08327003+0.38041129j],
          [ 0.22483591+0.31795512j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9027011 -0.18298657j,  0.22771529-0.31589934j],
          [-0.33275667-0.20228605j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9027011 -0.18298657j, -0.37654341+0.09930612j],
          [ 0.38549107-0.05516592j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9027011 -0.18298657j, -0.32915066+0.20810211j],
          [ 0.38420661+0.06349743j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
