unitary
"Operator([[ 0.9027011 -0.18298657j, -0.23041186+0.31393792j],
          [ 0.33447656+0.19942937j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9027011-0.18298657j, -0.2772696+0.27343777j],
          [ 0.3618639+0.143879j  ,  0.9027011-0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9027011 -0.18298657j, 0.07736548+0.3816559j ],
          [0.07736548+0.3816559j , 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9027011 -0.18298657j, 0.07736548+0.3816559j ],
          [0.07736548+0.3816559j , 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9027011 -0.18298657j, 0.04201682+0.38714498j],
          [0.1120613 +0.37294626j, 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
