unitary
"Operator([[0.9027011 -0.18298657j, 0.07161132+0.3827773j ],
          [0.08310211+0.380448j  , 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9027011 -0.18298657j,  0.37385497+0.10899133j],
          [-0.30190001+0.24597364j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9027011 -0.18298657j, -0.30430016-0.24299806j],
          [ 0.18565111-0.3423161j ,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9027011 -0.18298657j, -0.11546229+0.37190739j],
          [ 0.25117537+0.29758626j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9027011 -0.18298657j, -0.36888951-0.12476848j],
          [ 0.29118261-0.25857172j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
