unitary
"Operator([[ 8.50300645e-01-0.2171174j, -2.01816136e-04+0.4794255j],
          [ 2.30025937e-01+0.4206387j,  8.50300645e-01-0.2171174j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.36430241-0.31166104j],
          [-0.4691237 -0.09885241j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.11225477-0.4660984j ],
          [-0.3219723 -0.35522202j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.28344812+0.38666007j],
          [ 0.43412384+0.20343387j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.46218117-0.1274261j ],
          [ 0.34451081-0.33340838j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
