unitary
"Operator([[ 0.85030065-0.2171174j , -0.47637014-0.0540401j ],
          [ 0.39214593-0.27580866j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.33482442+0.34313475j],
          [ 0.45834363+0.14060569j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.46403691+0.12049314j],
          [ 0.46499818-0.11672847j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.47500288-0.06497005j],
          [-0.44800255+0.17071193j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.2922839 -0.38002496j],
          [-0.43869692-0.19337491j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
