unitary
"Operator([[0.78847323-0.24390335j, 0.28936637+0.48485898j],
          [0.0349476 +0.56355992j, 0.78847323-0.24390335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.78847323-0.24390335j,  0.01958683-0.56430265j],
          [-0.33479495-0.45467952j,  0.78847323-0.24390335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.78847323-0.24390335j, -0.56109679-0.06317841j],
          [ 0.42741995-0.36896247j,  0.78847323-0.24390335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.78847323-0.24390335j, -0.56454894-0.01027725j],
          [ 0.46013937-0.32725048j,  0.78847323-0.24390335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.78847323-0.24390335j,  0.50146381+0.25952875j],
          [-0.26733498+0.49734609j,  0.78847323-0.24390335j]],
         input_dims=(2,), output_dims=(2,))"
