unitary
"Operator([[ 0.78847323-0.24390335j,  0.48328857+0.29198164j],
          [-0.23401004+0.5138681j ,  0.78847323-0.24390335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.78847323-0.24390335j, 0.12082977+0.55156259j],
          [0.21171056+0.52344987j, 0.78847323-0.24390335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.78847323-0.24390335j, 0.20261756+0.52703629j],
          [0.13035958+0.5493883j , 0.78847323-0.24390335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.78847323-0.24390335j, 0.16686326+0.53942356j],
          [0.16686326+0.53942356j, 0.78847323-0.24390335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.78847323-0.24390335j, 0.16686326+0.53942356j],
          [0.16686326+0.53942356j, 0.78847323-0.24390335j]],
         input_dims=(2,), output_dims=(2,))"
