unitary
"Operator([[ 5.59726895e-01-0.27037891j, -6.13970578e-01-0.48645779j],
          [ 5.94757813e-04-0.78332668j,  5.59726895e-01-0.27037891j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.55972689-0.27037891j, -0.24156812+0.74514824j],
          [ 0.73385581+0.27396476j,  0.55972689-0.27037891j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.55972689-0.27037891j, -0.57714828+0.52962337j],
          [ 0.77362936-0.12287661j,  0.55972689-0.27037891j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.55972689-0.27037891j,  0.76694184-0.15937773j],
          [-0.60158356+0.5016954j ,  0.55972689-0.27037891j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.55972689-0.27037891j,  0.62739225-0.46902026j],
          [-0.75738947+0.19990557j,  0.55972689-0.27037891j]],
         input_dims=(2,), output_dims=(2,))"
