,cost,state
0,-0.46169768267758815,"Statevector([-0.38271967-0.39271938j,  0.78897828-0.27714693j],
            dims=(2,))"
1,-0.692323343465654,"Statevector([ 0.46623382-0.81709598j, -0.32163548+0.10738158j],
            dims=(2,))"
2,-0.20705254903031792,"Statevector([ 0.51577632+0.02354959j, -0.85639094+0.00384143j],
            dims=(2,))"
3,-0.10390748247311102,"Statevector([ 0.42787186-0.10595582j, -0.89749548-0.01417402j],
            dims=(2,))"
4,-0.5174082389945099,"Statevector([ 0.63748861-0.54199069j, -0.50602145+0.20927651j],
            dims=(2,))"
5,-0.653095547720166,"Statevector([ 0.51869548-0.76210553j, -0.3616779 +0.13906566j],
            dims=(2,))"
6,-0.6841076194546667,"Statevector([ 0.47788818-0.80600859j, -0.32998911+0.11436883j],
            dims=(2,))"
7,-0.6906185208105392,"Statevector([ 0.46868187-0.81481467j, -0.32336798+0.10884628j],
            dims=(2,))"
8,-0.691970091729052,"Statevector([ 0.46674236-0.81662412j, -0.32199443+0.10768571j],
            dims=(2,))"
9,-0.6922501673713986,"Statevector([ 0.46633922-0.81699827j, -0.32170984+0.10744461j],
            dims=(2,))"
10,-0.6923081858918866,"Statevector([ 0.46625565-0.81707574j, -0.32165088+0.10739464j],
            dims=(2,))"
11,-0.6923202037876597,"Statevector([ 0.46623834-0.81709179j, -0.32163867+0.10738428j],
            dims=(2,))"
12,-0.6923226931271257,"Statevector([ 0.46623475-0.81709511j, -0.32163614+0.10738214j],
            dims=(2,))"
13,-0.6923232087575735,"Statevector([ 0.46623401-0.8170958j , -0.32163562+0.10738169j],
            dims=(2,))"
14,-0.692323315562855,"Statevector([ 0.46623386-0.81709594j, -0.32163551+0.1073816j ],
            dims=(2,))"
15,-0.6923233376859996,"Statevector([ 0.46623382-0.81709597j, -0.32163549+0.10738158j],
            dims=(2,))"
16,-0.6923233422684838,"Statevector([ 0.46623382-0.81709598j, -0.32163548+0.10738158j],
            dims=(2,))"
17,-0.692323343217678,"Statevector([ 0.46623382-0.81709598j, -0.32163548+0.10738158j],
            dims=(2,))"
18,-0.6923233434142897,"Statevector([ 0.46623382-0.81709598j, -0.32163548+0.10738158j],
            dims=(2,))"
19,-0.6923233434550149,"Statevector([ 0.46623382-0.81709598j, -0.32163548+0.10738158j],
            dims=(2,))"
20,-0.6923233434634491,"Statevector([ 0.46623382-0.81709598j, -0.32163548+0.10738158j],
            dims=(2,))"
21,-0.6923233434651967,"Statevector([ 0.46623382-0.81709598j, -0.32163548+0.10738158j],
            dims=(2,))"
