,unitary
0,"Operator([[ 0.74730861-0.19488594j, -0.56305913-0.29413216j],
          [ 0.34770964-0.53164586j,  0.74730861-0.19488594j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.84729819-0.2209616j ,  0.44822197+0.17988557j],
          [-0.30329051+0.37586782j,  0.84729819-0.2209616j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.72747267-0.18971305j, -0.33229775+0.56953549j],
          [ 0.56811363+0.33472284j,  0.72747267-0.18971305j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[0.84440394-0.22020682j, 0.12323361+0.47255097j],
          [0.12323361+0.47255097j, 0.84440394-0.22020682j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.85459147-0.22286357j,  0.41182558-0.22451045j],
          [-0.46901836+0.00519933j,  0.85459147-0.22286357j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.9122514 -0.23790034j,  0.25894541+0.21011447j],
          [-0.12335685+0.30981269j,  0.9122514 -0.23790034j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.81077835-0.21143782j,  0.16310574-0.52089253j],
          [-0.39671404-0.37490063j,  0.81077835-0.21143782j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.79821699-0.20816202j, -0.53959109-0.16840331j],
          [ 0.38863074-0.41046847j,  0.79821699-0.20816202j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.74941929-0.19543637j,  0.30362506-0.55496591j],
          [-0.53597743-0.33601123j,  0.74941929-0.19543637j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.85667468-0.22340683j,  0.29020983+0.3632852j ],
          [-0.07583784+0.45874449j,  0.85667468-0.22340683j]],
         input_dims=(2,), output_dims=(2,))"
10,"Operator([[ 0.88878506-0.2317807j ,  0.37649747+0.12078275j],
          [-0.26956368+0.289265j  ,  0.88878506-0.2317807j ]],
         input_dims=(2,), output_dims=(2,))"
11,"Operator([[ 0.76253276-0.19885615j,  0.53605432+0.30273056j],
          [-0.31994496+0.52596126j,  0.76253276-0.19885615j]],
         input_dims=(2,), output_dims=(2,))"
12,"Operator([[ 0.87362433-0.22782703j,  0.31129688+0.29659674j],
          [-0.12680702+0.41084712j,  0.87362433-0.22782703j]],
         input_dims=(2,), output_dims=(2,))"
13,"Operator([[ 0.8350345 -0.21776343j, -0.14911994+0.48276259j],
          [ 0.36588844+0.34845678j,  0.8350345 -0.21776343j]],
         input_dims=(2,), output_dims=(2,))"
14,"Operator([[ 0.86395222-0.2253047j ,  0.43665581-0.11025454j],
          [-0.43488884+0.11703014j,  0.86395222-0.2253047j ]],
         input_dims=(2,), output_dims=(2,))"
15,"Operator([[ 0.857629  -0.22365571j, -0.30029262+0.35252654j],
          [ 0.43420704+0.16098097j,  0.857629  -0.22365571j]],
         input_dims=(2,), output_dims=(2,))"
16,"Operator([[ 0.7439246 -0.19400345j,  0.56275162+0.30372597j],
          [-0.34275611+0.53986767j,  0.7439246 -0.19400345j]],
         input_dims=(2,), output_dims=(2,))"
17,"Operator([[ 0.77838114-0.20298915j, -0.46770043-0.36629838j],
          [ 0.22925261-0.54805241j,  0.77838114-0.20298915j]],
         input_dims=(2,), output_dims=(2,))"
18,"Operator([[ 0.86949694-0.22675067j,  0.38682799-0.20717941j],
          [-0.43874063+0.00811547j,  0.86949694-0.22675067j]],
         input_dims=(2,), output_dims=(2,))"
19,"Operator([[ 0.92037305-0.24001833j, -0.00178548-0.30870936j],
          [-0.14920178-0.27026558j,  0.92037305-0.24001833j]],
         input_dims=(2,), output_dims=(2,))"
20,"Operator([[ 0.80410396-0.20969724j, -0.15741002+0.53354098j],
          [ 0.39792063+0.38871977j,  0.80410396-0.20969724j]],
         input_dims=(2,), output_dims=(2,))"
21,"Operator([[ 0.88354623-0.2304145j , -0.12783728+0.3871858j ],
          [ 0.3006408 +0.27544567j,  0.88354623-0.2304145j ]],
         input_dims=(2,), output_dims=(2,))"
22,"Operator([[ 0.88905813-0.23185191j,  0.16187236-0.36002455j],
          [-0.31707699-0.23512234j,  0.88905813-0.23185191j]],
         input_dims=(2,), output_dims=(2,))"
23,"Operator([[ 0.82633193-0.21549394j, -0.42963789-0.29351182j],
          [ 0.23158323-0.46594754j,  0.82633193-0.21549394j]],
         input_dims=(2,), output_dims=(2,))"
24,"Operator([[ 0.81500371-0.21253972j,  0.18994831-0.50449525j],
          [-0.41213037-0.34748291j,  0.81500371-0.21253972j]],
         input_dims=(2,), output_dims=(2,))"
25,"Operator([[ 0.82710843-0.21569644j,  0.40588779-0.32345293j],
          [-0.51215586-0.08404207j,  0.82710843-0.21569644j]],
         input_dims=(2,), output_dims=(2,))"
26,"Operator([[ 0.80011962-0.2086582j , -0.16167865+0.5386375j ],
          [ 0.40413455+0.39108262j,  0.80011962-0.2086582j ]],
         input_dims=(2,), output_dims=(2,))"
27,"Operator([[0.8443942 -0.22020429j, 0.11898666+0.47365671j],
          [0.12747969+0.47144187j, 0.8443942 -0.22020429j]],
         input_dims=(2,), output_dims=(2,))"
28,"Operator([[ 0.86497468-0.22557134j, -0.41837258-0.16093712j],
          [ 0.28649618-0.34475543j,  0.86497468-0.22557134j]],
         input_dims=(2,), output_dims=(2,))"
29,"Operator([[ 0.82734195-0.21575734j,  0.26965007-0.44299313j],
          [-0.45164681-0.25489062j,  0.82734195-0.21575734j]],
         input_dims=(2,), output_dims=(2,))"
30,"Operator([[ 0.85305013-0.22246161j, -0.46348434-0.08943474j],
          [ 0.3607813 -0.30438982j,  0.85305013-0.22246161j]],
         input_dims=(2,), output_dims=(2,))"
31,"Operator([[ 0.89793571-0.23416704j,  0.16852788-0.33237873j],
          [-0.30938392-0.20774709j,  0.89793571-0.23416704j]],
         input_dims=(2,), output_dims=(2,))"
32,"Operator([[0.93075418-0.24272556j, 0.06861225+0.26471366j],
          [0.0694002 +0.26450817j, 0.93075418-0.24272556j]],
         input_dims=(2,), output_dims=(2,))"
33,"Operator([[ 0.82135745-0.21419667j, -0.51738106-0.10866725j],
          [ 0.39842169-0.34749372j,  0.82135745-0.21419667j]],
         input_dims=(2,), output_dims=(2,))"
34,"Operator([[ 0.82313946-0.21466139j,  0.07512343-0.52030605j],
          [-0.31965032-0.41735548j,  0.82313946-0.21466139j]],
         input_dims=(2,), output_dims=(2,))"
35,"Operator([[ 0.85231066-0.22226877j, -0.38967837+0.26891244j],
          [ 0.47137566+0.04436355j,  0.85231066-0.22226877j]],
         input_dims=(2,), output_dims=(2,))"
36,"Operator([[ 0.81347684-0.21214154j, -0.47652169-0.25725178j],
          [ 0.29020392-0.45720136j,  0.81347684-0.21214154j]],
         input_dims=(2,), output_dims=(2,))"
37,"Operator([[ 0.90054759-0.23484818j, -0.10535654+0.35037177j],
          [ 0.26304477+0.2542987j ,  0.90054759-0.23484818j]],
         input_dims=(2,), output_dims=(2,))"
38,"Operator([[ 0.75045678-0.19570693j,  0.52767986+0.34650741j],
          [-0.29125837+0.56007319j,  0.75045678-0.19570693j]],
         input_dims=(2,), output_dims=(2,))"
39,"Operator([[ 0.87024251-0.2269451j , -0.4327036 +0.06278126j],
          [ 0.40825613-0.15652737j,  0.87024251-0.2269451j ]],
         input_dims=(2,), output_dims=(2,))"
40,"Operator([[ 0.80240215-0.20925344j, -0.39833757-0.3920344j ],
          [ 0.15615514-0.53663709j,  0.80240215-0.20925344j]],
         input_dims=(2,), output_dims=(2,))"
41,"Operator([[ 0.94325641-0.24598594j, -0.22306308+0.00105797j],
          [ 0.19517151-0.10801082j,  0.94325641-0.24598594j]],
         input_dims=(2,), output_dims=(2,))"
