unitary
"Operator([[0.99566487-0.04151006j, 0.0034672 +0.08316467j],
          [0.0034672 +0.08316467j, 0.99566487-0.04151006j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.99566487-0.04151006j, -0.08047536+0.02126268j],
          [ 0.08196593+0.01449037j,  0.99566487-0.04151006j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.99566487-0.04151006j, -0.08090858-0.01954956j],
          [ 0.07900057-0.0262163j ,  0.99566487-0.04151006j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.99566487-0.04151006j, -0.05524619-0.06225948j],
          [ 0.04987219-0.06664195j,  0.99566487-0.04151006j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.99566487-0.04151006j, -0.06984964-0.04527043j],
          [ 0.06583908-0.0509274j ,  0.99566487-0.04151006j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.99566487-0.04151006j, -0.08207378-0.01386646j],
          [ 0.08063477-0.0206499j ,  0.99566487-0.04151006j]],
         input_dims=(2,), output_dims=(2,))"
