unitary
"Operator([[ 0.96135264-0.1207989j ,  0.069966  +0.23730461j],
          [-0.00908083+0.24723725j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.12859403-0.21135822j],
          [-0.17688721-0.17297293j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.24628544+0.02349901j],
          [ 0.24444277-0.03816351j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.22162912-0.10995114j],
          [ 0.18753686-0.16136494j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.09679076+0.22768458j],
          [-0.03745171+0.24455283j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.17731293-0.1725365j ],
          [ 0.12911448-0.21104068j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
