unitary
"Operator([[ 0.96135264-0.1207989j , -0.24117762+0.055155j  ],
          [ 0.24732556-0.00622793j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.09048958-0.23026149j],
          [ 0.03070888-0.2454907j ,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.21534103+0.12180706j],
          [-0.17851105+0.17129659j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.02067579-0.2465385j ],
          [-0.08102763-0.23375894j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.24474058+0.03620451j],
          [ 0.24608933-0.02547079j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.21210485+0.12735876j],
          [ 0.23702008+0.0709239j ,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
