unitary
"Operator([[ 0.9318629 -0.1567647j ,  0.29321847-0.14518711j],
          [-0.32458328-0.04125604j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9318629 -0.1567647j , 0.05428033+0.32266084j],
          [0.05428033+0.32266084j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9318629 -0.1567647j , 0.05428033+0.32266084j],
          [0.05428033+0.32266084j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.15769488-0.28668571j],
          [-0.24281692-0.21930872j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.24526351+0.21656911j],
          [-0.1609032 +0.2848974j ,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.01830245+0.3266824j ],
          [ 0.12418377+0.30271234j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
