unitary
"Operator([[ 0.9318629 -0.1567647j ,  0.13031727+0.30012294j],
          [-0.02494557+0.32624238j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.0152234 -0.32684036j],
          [-0.09255498-0.31383108j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.24221953+0.21996833j],
          [ 0.3008595 +0.12860766j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.28033302-0.16872987j],
          [ 0.20969511-0.25116594j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.27064784+0.18386439j],
          [-0.1955911 +0.26229847j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.23761926-0.22492989j],
          [ 0.1509441 -0.29029683j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
