unitary
"Operator([[ 0.9318629 -0.1567647j , -0.2900945 +0.15133259j],
          [ 0.32364203+0.0480854j ,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.06722925-0.32021336j],
          [-0.16830086-0.28059079j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.32718315+0.00274884j],
          [ 0.3100734 -0.10445506j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.25911977-0.19978316j],
          [ 0.17948904-0.2735691j ,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.14337683-0.29410789j],
          [ 0.03925439-0.32483144j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.19620035-0.26184307j],
          [ 0.09972722-0.31162614j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
