unitary
"Operator([[0.74262963-0.25713814j, 0.2082524 +0.5822475j ],
          [0.19638136+0.58635789j, 0.74262963-0.25713814j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.74262963-0.25713814j,  0.23651114-0.57135251j],
          [-0.53917824-0.30276731j,  0.74262963-0.25713814j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.74262963-0.25713814j, -0.57507398+0.22731285j],
          [ 0.59250672-0.17696611j,  0.74262963-0.25713814j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.74262963-0.25713814j, -0.46458044-0.40810076j],
          [ 0.11275066-0.6080037j ,  0.74262963-0.25713814j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.74262963-0.25713814j,  0.4017861 +0.47005228j],
          [-0.02509245+0.61786049j,  0.74262963-0.25713814j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.74262963-0.25713814j, -0.28249945-0.55006843j],
          [-0.11813299-0.6069809j ,  0.74262963-0.25713814j]],
         input_dims=(2,), output_dims=(2,))"
