unitary
"Operator([[0.996814  -0.03561564j, 0.00254831+0.07132234j],
          [0.00254831+0.07132234j, 0.996814  -0.03561564j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.996814  -0.03561564j, -0.00733081+0.07099034j],
          [ 0.01237854+0.07028614j,  0.996814  -0.03561564j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.996814  -0.03561564j, -0.05534245+0.04506199j],
          [ 0.05841731+0.04099742j,  0.996814  -0.03561564j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.996814  -0.03561564j,  0.00633197+0.0710864j ],
          [-0.00124254+0.07135703j,  0.996814  -0.03561564j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[9.96814003e-01-0.03561564j, 4.48802071e-03+0.07122659j],
          [6.06712093e-04+0.07136527j, 9.96814003e-01-0.03561564j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.996814  -0.03561564j, -0.00663171-0.07105906j],
          [ 0.00154347-0.07135116j,  0.996814  -0.03561564j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.996814  -0.03561564j, -0.06361612-0.03234748j],
          [ 0.06114533-0.03680514j,  0.996814  -0.03561564j]],
         input_dims=(2,), output_dims=(2,))"
