unitary
"Operator([[ 8.88757375e-01-0.19341758j, -1.73249115e-01-0.3777363j ],
          [ 6.03952412e-04-0.41557142j,  8.88757375e-01-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.88875737-0.19341758j, 0.08837116+0.40606712j],
          [0.08837116+0.40606712j, 0.88875737-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.88875737-0.19341758j,  0.39905669+0.11599018j],
          [-0.31476389+0.2713368j ,  0.88875737-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.88875737-0.19341758j, -0.20646082+0.36065759j],
          [ 0.33766772+0.24224054j,  0.88875737-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.88875737-0.19341758j, -0.12903124-0.39503279j],
          [-0.04680281-0.41292792j,  0.88875737-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.88875737-0.19341758j, -0.24669691-0.33442578j],
          [ 0.08540779-0.40670072j,  0.88875737-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.88875737-0.19341758j, -0.20376547+0.36218725j],
          [ 0.33585182+0.24475196j,  0.88875737-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
