unitary
"Operator([[0.88875737-0.19341758j, 0.08392639+0.407009j  ],
          [0.09280537+0.4050767j , 0.88875737-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.88875737-0.19341758j,  0.17260446-0.37803131j],
          [-0.31409334-0.27211273j,  0.88875737-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.88875737-0.19341758j, -0.41428932+0.03262398j],
          [ 0.39037875-0.1424935j ,  0.88875737-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.88875737-0.19341758j, -0.41456181-0.02895632j],
          [ 0.36503556-0.19861774j,  0.88875737-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.88875737-0.19341758j, -0.07854053-0.40808253j],
          [-0.09815027-0.40381492j,  0.88875737-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.88875737-0.19341758j, -0.41336131+0.0428065j ],
          [ 0.39376623-0.13284623j,  0.88875737-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.88875737-0.19341758j, -0.19123495-0.36895685j],
          [ 0.02061165-0.41506039j,  0.88875737-0.19341758j]],
         input_dims=(2,), output_dims=(2,))"
