unitary
"Operator([[ 0.85030065-0.2171174j , -0.2258275 -0.42290754j],
          [-0.00457039-0.47940375j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.41068876-0.24735316j],
          [-0.47900072-0.02017814j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.46283842-0.12501777j],
          [-0.46611564+0.11218314j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.47143147+0.08718494j],
          [-0.37192135+0.30252827j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.18005444-0.44433011j],
          [-0.05501056-0.47625905j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.22835365-0.42154888j],
          [-0.00170211-0.47942252j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.47455056+0.06819542j],
          [-0.38376267+0.28735877j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
