unitary
"Operator([[ 8.50300645e-01-0.2171174j , -2.89719520e-04+0.47942545j],
          [ 2.30103058e-01+0.42059652j,  8.50300645e-01-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.297252  -0.37615169j],
          [-0.4411999 -0.18759396j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.44436682-0.17996381j],
          [ 0.30368933-0.37097391j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.42306699+0.22552865j],
          [ 0.4794004 -0.00490911j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.20087913-0.43531187j],
          [-0.03241161-0.47832869j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.14479303+0.4570381j ],
          [ 0.34618357+0.33167119j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.47371623-0.07376846j],
          [ 0.38035862-0.29184957j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
