unitary
"Operator([[0.77168651-0.2493213j , 0.18262064+0.55586736j],
          [0.17713788+0.55763876j, 0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j ,  0.57972058-0.07913828j],
          [-0.5164356 +0.27501471j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.55308366+0.19088553j],
          [ 0.56021705-0.16880662j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.56270447-0.16031998j],
          [ 0.36252979-0.45925044j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.77168651-0.2493213j , 0.17988144+0.55675981j],
          [0.17988144+0.55675981j, 0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.09602951-0.57716302j],
          [-0.25982011-0.52424453j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.46082835-0.36052191j],
          [ 0.16277441-0.56199939j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j ,  0.49165667+0.31719479j],
          [-0.21312562+0.54490026j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
