unitary
"Operator([[ 0.77168651-0.2493213j ,  0.0079762 -0.5850429j ],
          [-0.34877541-0.46978137j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j ,  0.58443546-0.02782114j],
          [-0.49023367+0.31938967j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j ,  0.58018559-0.07565381j],
          [-0.51477395+0.27811256j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j ,  0.24172952-0.53282798j],
          [-0.50778992-0.29066856j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.3580407 +0.46275877j],
          [ 0.56111669+0.16579166j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.56657874-0.14603886j],
          [ 0.37402753-0.44993581j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.15305672+0.56472335j],
          [ 0.45454145+0.36841673j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j ,  0.57672022-0.09865395j],
          [-0.52542099+0.25743272j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
