unitary
"Operator([[ 0.96135264-0.1207989j ,  0.20430079+0.1395346j ],
          [-0.16342816+0.18574164j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.19185455+0.15620675j],
          [ 0.22453643+0.10388508j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.06645406+0.23831193j],
          [-0.00542885+0.24734439j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.00353427+0.24737871j],
          [ 0.06462687+0.23881392j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.24084999+0.05656854j],
          [ 0.24735783-0.00477728j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.1214903 -0.2155199j ],
          [ 0.06439298-0.23887709j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.2267363 -0.09899177j],
          [ 0.19519666-0.15200982j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.09977483-0.22639281j],
          [ 0.04066259-0.24403949j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
