unitary
"Operator([[ 0.96135264-0.1207989j , -0.1537493 +0.1938295j ],
          [ 0.19692379+0.14976562j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.12988469-0.21056753j],
          [ 0.07375165-0.23615548j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.1148656 +0.21912237j],
          [ 0.16550645+0.18389218j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.14234449+0.20235307j],
          [-0.0878564 +0.23127899j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.16659681-0.18290495j],
          [ 0.11616631-0.21843559j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 9.61352645e-01-0.1207989j ,  1.81233586e-04-0.24740389j],
          [-6.13843021e-02-0.23966787j,  9.61352645e-01-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.24030248-0.05885098j],
          [ 0.21827209-0.11647323j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.24571267-0.02887912j],
          [-0.24521887+0.03280895j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
