unitary
"Operator([[ 0.85030065-0.2171174j , -0.05555114+0.4761963j ],
          [ 0.27705138+0.39126894j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.38940088+0.27967087j],
          [ 0.47581279+0.05874555j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.15498307-0.45368391j],
          [-0.08149721-0.47244794j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.30140001-0.37283627j],
          [-0.44325062-0.18269574j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.41958062+0.23195032j],
          [-0.25701372+0.40471322j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.39611487-0.2700775j ],
          [-0.47710555-0.04710772j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.46569669-0.11390977j],
          [-0.46329855+0.12330166j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.30359668+0.37104973j],
          [-0.08854044+0.47117877j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
