unitary
"Operator([[9.82721104e-01-0.08208352j, 5.20926742e-04+0.16589531j],
          [2.70076828e-02+0.16368296j, 9.82721104e-01-0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9827211 -0.08208352j,  0.14692538-0.07703544j],
          [-0.15766935-0.05159363j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9827211 -0.08208352j, -0.0538528 -0.15691209j],
          [ 0.02707546-0.16367176j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9827211 -0.08208352j, -0.13299684+0.09916333j],
          [ 0.14760475+0.07572559j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9827211 -0.08208352j, -0.15996298-0.04397013j],
          [ 0.15045194-0.06989808j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9827211 -0.08208352j, 0.01380868+0.16532044j],
          [0.01380868+0.16532044j, 0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9827211 -0.08208352j, -0.05735335+0.15566669j],
          [ 0.08238312+0.14399496j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9827211 -0.08208352j, -0.00478045+0.16582724j],
          [ 0.0322243 +0.16273635j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9827211 -0.08208352j,  0.11907551+0.11550996j],
          [-0.09826285+0.13366353j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
