unitary
"Operator([[ 9.31862897e-01-0.1567647j , -1.07662247e-01-0.30897445j],
          [ 6.41387394e-04-0.32719407j,  9.31862897e-01-0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9318629 -0.1567647j , 0.04004101+0.32473541j],
          [0.06841468+0.31996219j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.17668851+0.27538617j],
          [-0.07685814+0.31803961j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.05136877+0.32313715j],
          [ 0.15427004+0.28854311j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.32531766+0.03499704j],
          [-0.29596033+0.1395129j ,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.09002038-0.31456748j],
          [-0.18799019-0.26779854j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.21278513+0.24855353j],
          [ 0.28239818+0.16525022j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.10988457-0.30819109j],
          [-0.20467468-0.25527367j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.30547595-0.11722122j],
          [ 0.25030746-0.21071912j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
