unitary
"Operator([[ 0.9318629 -0.1567647j ,  0.31458258+0.0899676j ],
          [-0.26783008+0.18794526j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.15375151+0.28881974j],
          [-0.05078827+0.3232289j ,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9318629 -0.1567647j , 0.05428033+0.32266084j],
          [0.05428033+0.32266084j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.29001422-0.15148637j],
          [ 0.22448542-0.23803921j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.31523892+0.08764014j],
          [ 0.32656259-0.02032834j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.1440876 -0.29376033j],
          [ 0.04003975-0.32473557j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.24169515+0.22054438j],
          [ 0.30055246+0.12932358j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.13320004-0.29885468j],
          [-0.22365197-0.23882246j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.05757487+0.32208928j],
          [ 0.15979168+0.28552231j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
