unitary
"Operator([[ 0.9318629 -0.1567647j , -0.13706156+0.29710352j],
          [ 0.22672796+0.23590422j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.0852485 -0.31589407j],
          [-0.18391503-0.27061344j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.2754833 -0.17653702j],
          [ 0.20255788-0.25695656j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.32134459+0.06159566j],
          [ 0.32381057-0.046937j  ,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.0836045 -0.31633314j],
          [-0.02449987-0.32627615j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9318629 -0.1567647j , 0.05428033+0.32266084j],
          [0.05428033+0.32266084j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.15791404+0.28656504j],
          [ 0.24298453+0.21912299j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9318629 -0.1567647j , 0.05428033+0.32266084j],
          [0.05428033+0.32266084j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.31962308+0.06998184j],
          [-0.27913236+0.1707088j ,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
