unitary
"Operator([[ 0.9318629 -0.1567647j , -0.30881709-0.1081128j ],
          [ 0.25644492-0.20320525j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.25514385-0.20483648j],
          [ 0.17407854-0.27704337j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.16793136-0.28081208j],
          [ 0.06680768-0.32030158j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.07079508-0.31944393j],
          [-0.17141867-0.27869699j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9318629 -0.1567647j , 0.05666417+0.32225074j],
          [0.05189353+0.32305329j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.12547329-0.30218012j],
          [ 0.01969513-0.3266014j ,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.12689534-0.30158571j],
          [ 0.02123339-0.326505j  ,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9318629 -0.1567647j , 0.05428033+0.32266084j],
          [0.05428033+0.32266084j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9318629 -0.1567647j , 0.05694182+0.3222018j ],
          [0.05161515+0.32309789j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
