unitary
"Operator([[ 0.9318629 -0.1567647j , -0.13059167-0.30000364j],
          [ 0.02524391-0.32621943j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.04451705+0.32415213j],
          [ 0.14812755+0.29174406j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.32304314+0.05195672j],
          [ 0.32226182-0.05660114j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.30435117-0.12011134j],
          [-0.32689855-0.01391796j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.28021381-0.16892777j],
          [-0.32006226-0.06794499j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.08077916+0.31706639j],
          [ 0.18007527+0.27318358j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.203218  +0.25643482j],
          [-0.10812814+0.30881171j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.28693547+0.15723996j],
          [ 0.32258975+0.05470123j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.32717118+0.00392292j],
          [ 0.31044624-0.10334169j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
