unitary
"Operator([[ 0.9318629 -0.1567647j ,  0.05162257-0.3230967j ],
          [-0.15449663-0.28842185j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.29520292-0.14110848j],
          [-0.325124  -0.03675261j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.9318629 -0.1567647j , 0.05428033+0.32266084j],
          [0.05428033+0.32266084j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.17432808+0.27688642j],
          [-0.07413677+0.31868497j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.21529804+0.24638004j],
          [ 0.28406162+0.16237415j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j , -0.32666502-0.01861008j],
          [ 0.30259526-0.12446879j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.13056157-0.30001674j],
          [-0.22153895-0.24078385j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.11832439+0.30505034j],
          [-0.0120006 +0.32697455j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.9318629 -0.1567647j ,  0.18517616-0.26975204j],
          [-0.26324493-0.1943154j ,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
