unitary
"Operator([[ 0.85030065-0.2171174j ,  0.18151974-0.44373351j],
          [-0.37203574-0.3023876j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.39002641-0.27879786j],
          [-0.47594319-0.05767952j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.0943868 +0.47004253j],
          [ 0.30818261+0.36724968j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.22173622-0.42506693j],
          [-0.0091961 -0.47933733j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.41083258-0.24711422j],
          [-0.47901238-0.0198995j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.3256983 -0.35180885j],
          [ 0.117161  -0.46488939j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.37181333+0.30266103j],
          [-0.18119346+0.44386684j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.43255293-0.20675303j],
          [-0.47872359+0.02593407j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.47474898+0.06680009j],
          [ 0.44865709-0.1689842j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
