unitary
"Operator([[ 0.85030065-0.2171174j , -0.159705  +0.45204332j],
          [ 0.35687543+0.32013868j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.37268134-0.30159156j],
          [ 0.18246795-0.44334444j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.19580221+0.43761895j],
          [ 0.3816383 +0.29017418j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.12453169+0.46296944j],
          [0.11267253+0.46599758j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.43411622-0.20345014j],
          [ 0.28343363-0.38667069j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.10715629-0.46729688j],
          [-0.31807255-0.35871813j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.42600173+0.21993493j],
          [ 0.47929411-0.01122505j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.29512606+0.37782199j],
          [-0.07785997+0.47306096j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.3329413 +0.34496223j],
          [ 0.45756718+0.14311227j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
