unitary
"Operator([[ 0.85030065-0.2171174j , -0.18759225-0.44120063j],
          [-0.04689516-0.47712649j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.07711389+0.47318315j],
          [ 0.29452989+0.37828691j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.47095257-0.08973586j],
          [-0.45632142+0.14703607j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.28018791+0.38902903j],
          [ 0.43239847+0.20707585j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.0101781 -0.47931749j],
          [-0.22086493-0.42552031j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.05262826-0.47652819j],
          [-0.27464543-0.3929615j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.45990104+0.1354248j ],
          [ 0.46852724-0.10164186j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.24953067-0.40936938j],
          [-0.4152459 -0.23962405j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.06528095-0.47496026j],
          [-0.2849975 -0.38551949j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
