unitary
"Operator([[ 0.85030065-0.2171174j ,  0.4780618 +0.03613527j],
          [-0.40221453+0.26090672j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.4779567 +0.03749981j],
          [-0.4014681 +0.26205383j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.23457946+0.4181164j ],
          [ 0.40631852+0.25446828j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.34814013+0.32961689j],
          [-0.14749495+0.45617331j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.35164859-0.32587132j],
          [ 0.15236964-0.4545683j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.39059218+0.27800467j],
          [ 0.47605942+0.05671219j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.42658689+0.21879779j],
          [-0.26946797+0.39652978j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.27186498+0.39489021j],
          [-0.04926352+0.47688778j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.46780862+0.10489967j],
          [-0.36024911+0.31633752j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
