unitary
"Operator([[0.85030065-0.2171174j , 0.1102588 +0.46657459j],
          [0.12692657+0.4623186j , 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.46382336-0.12131257j],
          [ 0.34888295-0.32883056j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.33988689+0.33812091j],
          [ 0.46038261+0.13377856j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.11861178+0.46452136j],
          [0.11861178+0.46452136j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.23578313-0.41743881j],
          [ 0.00678834-0.47937748j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.47415371-0.07090206j],
          [ 0.38211677-0.28954381j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.47477195+0.06663662j],
          [ 0.44859889-0.16913866j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.4119618 -0.24522708j],
          [ 0.24396237-0.41271202j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.45807843+0.14146729j],
          [ 0.46982468-0.09546527j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
