unitary
"Operator([[ 0.85030065-0.2171174j ,  0.04366435-0.477433j  ],
          [-0.26721265-0.39805307j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.21041074-0.43078552j],
          [-0.02187679-0.47892615j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.45878528-0.13915787j],
          [ 0.33590613-0.3420759j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.47888033+0.02285779j],
          [-0.40929841+0.24964706j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.46984427-0.09536878j],
          [-0.45804937+0.14156136j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.24688407-0.41097093j],
          [ 0.0196312 -0.47902345j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.47928273+0.01170113j],
          [-0.41500034+0.24004909j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.07553124+0.47343836j],
          [0.16069354+0.45169285j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.06931502+0.47438832j],
          [0.16660422+0.44954631j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
