,unitary
0,"Operator([[ 0.2217754 -0.58383133j, -0.63805297-0.18710284j,
            0.25773802+0.31844732j],
          [ 0.18729988-0.63799516j,  0.22220576+0.25765569j,
           -0.63805297-0.18710284j],
          [-0.25754127-0.31860646j,  0.18729988-0.63799516j,
            0.2217754 -0.58383133j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.36266439-0.69960202j,  0.36306662+0.44219018j,
           -0.11334895+0.19706356j],
          [ 0.17592447+0.5444264j ,  0.56928641+0.14565006j,
            0.36306662+0.44219018j],
          [-0.21724995+0.06696635j,  0.17592447+0.5444264j ,
            0.36266439-0.69960202j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.35918229-0.69678111j,  0.55070708-0.16871948j,
            0.2235043 -0.06152602j],
          [-0.43952085+0.37224451j,  0.5607762 +0.14846193j,
            0.55070708-0.16871948j],
          [ 0.10937126-0.20439557j, -0.43952085+0.37224451j,
            0.35918229-0.69678111j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.30449369-0.65223084j, -0.21917528+0.58516936j,
           -0.15293237-0.26082413j],
          [ 0.61082395+0.13173872j,  0.42670394+0.19235845j,
           -0.21917528+0.58516936j],
          [ 0.22152365+0.20577854j,  0.61082395+0.13173872j,
            0.30449369-0.65223084j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.28907052-0.63957706j,  0.27717413-0.57155521j,
           -0.10890205-0.30334619j],
          [-0.63070494-0.07557861j,  0.38874201+0.20464101j,
            0.27717413-0.57155521j],
          [ 0.27280039+0.17163483j, -0.63070494-0.07557861j,
            0.28907052-0.63957706j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.36272755-0.69965318j,  0.19924646-0.53625546j,
           -0.11551566-0.19570696j],
          [-0.55889673-0.12207994j,  0.56944077+0.14559903j,
            0.19924646-0.53625546j],
          [ 0.16531743+0.15593342j, -0.55889673-0.12207994j,
            0.36272755-0.69965318j]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.41072286-0.73836134j,  0.50724023+0.03760554j,
            0.14719803+0.07586285j],
          [-0.2424191 +0.4471463j ,  0.6864483 +0.10665394j,
            0.50724023+0.03760554j],
          [-0.04086301-0.16047631j, -0.2424191 +0.4471463j ,
            0.41072286-0.73836134j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.28503973-0.63626303j,  0.08581319-0.63189281j,
           -0.27163189-0.18299017j],
          [-0.57808452-0.26920383j,  0.37880901+0.20784343j,
            0.08581319-0.63189281j],
          [ 0.12035126+0.30460607j, -0.57808452-0.26920383j,
            0.28503973-0.63626303j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.23306442-0.59324859j,  0.1832311 -0.63573106j,
           -0.25114969-0.30484965j],
          [-0.63394942-0.1893033j ,  0.25025343+0.24883326j,
            0.1832311 -0.63573106j],
          [ 0.2452724 +0.30959801j, -0.63394942-0.1893033j ,
            0.23306442-0.59324859j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.22241868-0.58436871j,  0.63755286+0.18819647j,
            0.25606079+0.31872316j],
          [-0.18610941+0.63816522j,  0.22380528+0.2571538j ,
            0.63755286+0.18819647j],
          [-0.258141  -0.3170407j , -0.18610941+0.63816522j,
            0.22241868-0.58436871j]],
         input_dims=(3,), output_dims=(3,))"
