,unitary
0,"Operator([[ 0.85025644-0.49707182j, -0.04486649-0.16653873j,
           -0.01440726+0.00527933j],
          [-0.04486649-0.16653873j,  0.96978097+0.00534532j,
           -0.04486649-0.16653873j],
          [-0.01440726+0.00527933j, -0.04486649-0.16653873j,
            0.85025644-0.49707182j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.83315868-0.4907987j ,  0.20681421-0.14513827j,
            0.01672613-0.02909059j],
          [-0.25173512-0.02160244j,  0.93391071+0.01167519j,
            0.20681421-0.14513827j],
          [ 0.03156694+0.01138218j, -0.25173512-0.02160244j,
            0.83315868-0.4907987j ]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.75158421-0.4607436j , -0.23879361+0.38896781j,
           -0.03513278-0.11525558j],
          [ 0.4018746 +0.2163681j ,  0.76264533+0.04165814j,
           -0.23879361+0.38896781j],
          [ 0.04794862+0.11053999j,  0.4018746 +0.2163681j ,
            0.75158421-0.4607436j ]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.76065444-0.4640962j , -0.18356206+0.40005392j,
           -0.05664988-0.09524788j],
          [ 0.359687  +0.25369949j,  0.78169909+0.03834302j,
           -0.18356206+0.40005392j],
          [ 0.01856692+0.10925492j,  0.359687  +0.25369949j,
            0.76065444-0.4640962j ]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.84524033-0.49523232j, -0.14447722+0.13788442j,
            0.00454878-0.02018053j],
          [ 0.19419061+0.04664536j,  0.95925833+0.00720391j,
           -0.14447722+0.13788442j],
          [ 0.01651234+0.01246144j,  0.19419061+0.04664536j,
            0.84524033-0.49523232j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.777811  -0.47043012j,  0.37486363+0.15690911j,
            0.05254182+0.0761689j ],
          [-0.2453075 +0.32398679j,  0.8177321 +0.03205919j,
            0.37486363+0.15690911j],
          [-0.00928947-0.09206547j, -0.2453075 +0.32398679j,
            0.777811  -0.47043012j]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.7842782 -0.47281517j, -0.32000322-0.22719432j,
            0.01379775+0.08452115j],
          [ 0.16256384-0.35720067j,  0.83131227+0.0296861j ,
           -0.32000322-0.22719432j],
          [-0.04420785-0.07334759j,  0.16256384-0.35720067j,
            0.7842782 -0.47281517j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.83402265-0.4911159j , -0.24669355-0.03589674j,
            0.02918738+0.01460143j],
          [ 0.19527419-0.1549654j ,  0.9357235 +0.01135569j,
           -0.24669355-0.03589674j],
          [ 0.01283023-0.03000817j,  0.19527419-0.1549654j ,
            0.83402265-0.4911159j ]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.75156622-0.46073694j, -0.38873624-0.2392301j ,
            0.03488924+0.11534958j],
          [ 0.2159486 -0.40213569j,  0.76260753+0.04166471j,
           -0.38873624-0.2392301j ],
          [-0.04819506-0.1104537j ,  0.2159486 -0.40213569j,
            0.75156622-0.46073694j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.84314426-0.49446344j, -0.08930581+0.19003376j,
           -0.01133206-0.01992202j],
          [ 0.17268317+0.11945242j,  0.95486104+0.00798018j,
           -0.08930581+0.19003376j],
          [ 0.00422693+0.02252633j,  0.17268317+0.11945242j,
            0.84314426-0.49446344j]],
         input_dims=(3,), output_dims=(3,))"
10,"Operator([[ 0.85035099-0.49710649j, -0.17190906-0.00179989j,
            0.01495146+0.00296883j],
          [ 0.14773935-0.08791501j,  0.96997932+0.00531027j,
           -0.17190906-0.00179989j],
          [ 0.00949339-0.01192626j,  0.14773935-0.08791501j,
            0.85035099-0.49710649j]],
         input_dims=(3,), output_dims=(3,))"
11,"Operator([[ 0.74156354-0.45703637j,  0.41016812+0.23612773j,
            0.04528799+0.12311002j],
          [-0.23603845+0.41021951j,  0.74159165+0.04531492j,
            0.41016812+0.23612773j],
          [-0.04534157-0.1230903j , -0.23603845+0.41021951j,
            0.74156354-0.45703637j]],
         input_dims=(3,), output_dims=(3,))"
