unitary
"Operator([[ 0.75140351-6.09764296e-01j, -0.219917  -1.17355203e-01j,
            0.00418309+3.76312608e-02j,  0.00201781-2.62036633e-03j],
          [ 0.07983413-2.36140298e-01j,  0.92140335-6.27213955e-02j,
           -0.20218552-2.06478984e-01j,  0.00418309+3.76312608e-02j],
          [-0.01609505-3.42718467e-02j,  0.17065752-2.33213562e-01j,
            0.92140335-6.27213955e-02j, -0.219917  -1.17355203e-01j],
          [-0.00326304-5.38922583e-04j, -0.01609505-3.42718467e-02j,
            0.07983413-2.36140298e-01j,  0.75140351-6.09764296e-01j]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.75140351-0.6097643j , -0.22868926-0.09918139j,
            0.01019643+0.03646427j,  0.00132822-0.00302881j],
          [ 0.09867406-0.22890863j,  0.92140335-0.0627214j ,
           -0.21822517-0.18944743j,  0.01019643+0.03646427j],
          [-0.01035804-0.03641869j,  0.18896307-0.21864472j,
            0.92140335-0.0627214j , -0.22868926-0.09918139j],
          [-0.00303758-0.00130804j, -0.01035804-0.03641869j,
            0.09867406-0.22890863j,  0.75140351-0.6097643j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.75140351-0.6097643j ,  0.09183288+0.23173789j,
           -0.03644157+0.01027726j, -0.00121275-0.00307687j],
          [ 0.09183288+0.23173789j,  0.92140335-0.0627214j ,
            0.02066853+0.28824532j, -0.03644157+0.01027726j],
          [-0.03644157+0.01027726j,  0.02066853+0.28824532j,
            0.92140335-0.0627214j ,  0.09183288+0.23173789j],
          [-0.00121275-0.00307687j, -0.03644157+0.01027726j,
            0.09183288+0.23173789j,  0.75140351-0.6097643j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.75140351-0.6097643j ,  0.09183288+0.23173789j,
           -0.03644157+0.01027726j, -0.00121275-0.00307687j],
          [ 0.09183288+0.23173789j,  0.92140335-0.0627214j ,
            0.02066853+0.28824532j, -0.03644157+0.01027726j],
          [-0.03644157+0.01027726j,  0.02066853+0.28824532j,
            0.92140335-0.0627214j ,  0.09183288+0.23173789j],
          [-0.00121275-0.00307687j, -0.03644157+0.01027726j,
            0.09183288+0.23173789j,  0.75140351-0.6097643j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.75140351-0.6097643j ,  0.09183288+0.23173789j,
           -0.03644157+0.01027726j, -0.00121275-0.00307687j],
          [ 0.09183288+0.23173789j,  0.92140335-0.0627214j ,
            0.02066853+0.28824532j, -0.03644157+0.01027726j],
          [-0.03644157+0.01027726j,  0.02066853+0.28824532j,
            0.92140335-0.0627214j ,  0.09183288+0.23173789j],
          [-0.00121275-0.00307687j, -0.03644157+0.01027726j,
            0.09183288+0.23173789j,  0.75140351-0.6097643j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.75140351-0.6097643j ,  0.09183288+0.23173789j,
           -0.03644157+0.01027726j, -0.00121275-0.00307687j],
          [ 0.09183288+0.23173789j,  0.92140335-0.0627214j ,
            0.02066853+0.28824532j, -0.03644157+0.01027726j],
          [-0.03644157+0.01027726j,  0.02066853+0.28824532j,
            0.92140335-0.0627214j ,  0.09183288+0.23173789j],
          [-0.00121275-0.00307687j, -0.03644157+0.01027726j,
            0.09183288+0.23173789j,  0.75140351-0.6097643j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.75140351-0.6097643j ,  0.09183288+0.23173789j,
           -0.03644157+0.01027726j, -0.00121275-0.00307687j],
          [ 0.09183288+0.23173789j,  0.92140335-0.0627214j ,
            0.02066853+0.28824532j, -0.03644157+0.01027726j],
          [-0.03644157+0.01027726j,  0.02066853+0.28824532j,
            0.92140335-0.0627214j ,  0.09183288+0.23173789j],
          [-0.00121275-0.00307687j, -0.03644157+0.01027726j,
            0.09183288+0.23173789j,  0.75140351-0.6097643j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.75140351-0.6097643j ,  0.09183288+0.23173789j,
           -0.03644157+0.01027726j, -0.00121275-0.00307687j],
          [ 0.09183288+0.23173789j,  0.92140335-0.0627214j ,
            0.02066853+0.28824532j, -0.03644157+0.01027726j],
          [-0.03644157+0.01027726j,  0.02066853+0.28824532j,
            0.92140335-0.0627214j ,  0.09183288+0.23173789j],
          [-0.00121275-0.00307687j, -0.03644157+0.01027726j,
            0.09183288+0.23173789j,  0.75140351-0.6097643j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 7.51403505e-01-0.6097643j ,  1.62402037e-01-0.1891066j ,
            1.21996237e-02-0.03584382j, -8.38857778e-04-0.00319909j],
          [-2.47854514e-01-0.02653052j,  9.21403351e-01-0.0627214j ,
            2.45530905e-01-0.15240449j,  1.21996237e-02-0.03584382j],
          [ 2.91298346e-02+0.02418807j, -2.64763418e-01-0.11581401j,
            9.21403351e-01-0.0627214j ,  1.62402037e-01-0.1891066j ],
          [-1.56947811e-03-0.00291112j,  2.91298346e-02+0.02418807j,
           -2.47854514e-01-0.02653052j,  7.51403505e-01-0.6097643j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.75140351-0.6097643j , -0.14842202-0.20026641j,
           -0.02649103+0.02705245j,  0.00302806+0.00132994j],
          [-0.02904705-0.24757221j,  0.92140335-0.0627214j ,
           -0.09421299-0.27319675j, -0.02649103+0.02705245j],
          [-0.03672204-0.00922508j,  0.0542706 -0.28384372j,
            0.92140335-0.0627214j , -0.14842202-0.20026641j],
          [-0.00130631+0.00303833j, -0.03672204-0.00922508j,
           -0.02904705-0.24757221j,  0.75140351-0.6097643j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
