unitary
"Operator([[-0.47773386-0.6382077j ,  0.49910461+0.18723512j,
           -0.18400401+0.20097617j, -0.07098319-0.03180215j],
          [ 0.49910461+0.18723512j,  0.46242935+0.02626058j,
            0.08039413+0.64853293j, -0.18400401+0.20097617j],
          [-0.18400401+0.20097617j,  0.08039413+0.64853293j,
            0.46242935+0.02626058j,  0.49910461+0.18723512j],
          [-0.07098319-0.03180215j, -0.18400401+0.20097617j,
            0.49910461+0.18723512j, -0.47773386-0.6382077j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.47773386-0.6382077j ,  0.32440276+0.42299557j,
           -0.26142846-0.07683786j,  0.03887705-0.06736887j],
          [ 0.52257334-0.10525924j,  0.46242935+0.02626058j,
           -0.27499118+0.59282208j, -0.26142846-0.07683786j],
          [ 0.09954562+0.25365245j,  0.4114193 +0.50773254j,
            0.46242935+0.02626058j,  0.32440276+0.42299557j],
          [-0.02439548+0.07385696j,  0.09954562+0.25365245j,
            0.52257334-0.10525924j, -0.47773386-0.6382077j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.47773386-0.6382077j ,  0.52241525+0.1060411j ,
           -0.11212185+0.24834973j, -0.07766538+0.00425188j],
          [ 0.46326052+0.26372731j,  0.46242935+0.02626058j,
            0.18183286+0.6276902j , -0.11212185+0.24834973j],
          [-0.23751945+0.13354179j, -0.02306346+0.65308977j,
            0.46242935+0.02626058j,  0.52241525+0.1060411j ],
          [-0.04852575-0.0607885j , -0.23751945+0.13354179j,
            0.46326052+0.26372731j, -0.47773386-0.6382077j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.47773386-0.6382077j ,  0.39924276+0.35322461j,
           -0.27116276+0.02682637j, -0.00414527-0.07767115j],
          [ 0.5330575 -0.00347961j,  0.46242935+0.02626058j,
           -0.15666352+0.63444047j, -0.27116276+0.02682637j],
          [-0.00285981+0.2724715j ,  0.30683537+0.57698374j,
            0.46242935+0.02626058j,  0.39924276+0.35322461j],
          [-0.06072184+0.04860914j, -0.00285981+0.2724715j ,
            0.5330575 -0.00347961j, -0.47773386-0.6382077j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.47773386-0.6382077j ,  0.49910461+0.18723512j,
           -0.18400401+0.20097617j, -0.07098319-0.03180215j],
          [ 0.49910461+0.18723512j,  0.46242935+0.02626058j,
            0.08039413+0.64853293j, -0.18400401+0.20097617j],
          [-0.18400401+0.20097617j,  0.08039413+0.64853293j,
            0.46242935+0.02626058j,  0.49910461+0.18723512j],
          [-0.07098319-0.03180215j, -0.18400401+0.20097617j,
            0.49910461+0.18723512j, -0.47773386-0.6382077j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.47773386-0.6382077j ,  0.49910461+0.18723512j,
           -0.18400401+0.20097617j, -0.07098319-0.03180215j],
          [ 0.49910461+0.18723512j,  0.46242935+0.02626058j,
            0.08039413+0.64853293j, -0.18400401+0.20097617j],
          [-0.18400401+0.20097617j,  0.08039413+0.64853293j,
            0.46242935+0.02626058j,  0.49910461+0.18723512j],
          [-0.07098319-0.03180215j, -0.18400401+0.20097617j,
            0.49910461+0.18723512j, -0.47773386-0.6382077j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.47773386-0.6382077j ,  0.49910461+0.18723512j,
           -0.18400401+0.20097617j, -0.07098319-0.03180215j],
          [ 0.49910461+0.18723512j,  0.46242935+0.02626058j,
            0.08039413+0.64853293j, -0.18400401+0.20097617j],
          [-0.18400401+0.20097617j,  0.08039413+0.64853293j,
            0.46242935+0.02626058j,  0.49910461+0.18723512j],
          [-0.07098319-0.03180215j, -0.18400401+0.20097617j,
            0.49910461+0.18723512j, -0.47773386-0.6382077j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.47773386-0.6382077j , -0.28231178-0.45217526j,
           -0.24193335-0.12536807j, -0.05642947+0.05353228j],
          [-0.51005997+0.15492331j,  0.46242935+0.02626058j,
            0.33061343-0.56369578j, -0.24193335-0.12536807j],
          [ 0.14617197+0.22996228j, -0.45824606-0.46590635j,
            0.46242935+0.02626058j, -0.28231178-0.45217526j],
          [ 0.0023859 -0.07774508j,  0.14617197+0.22996228j,
           -0.51005997+0.15492331j, -0.47773386-0.6382077j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.47773386-0.6382077j ,  0.49910461+0.18723512j,
           -0.18400401+0.20097617j, -0.07098319-0.03180215j],
          [ 0.49910461+0.18723512j,  0.46242935+0.02626058j,
            0.08039413+0.64853293j, -0.18400401+0.20097617j],
          [-0.18400401+0.20097617j,  0.08039413+0.64853293j,
            0.46242935+0.02626058j,  0.49910461+0.18723512j],
          [-0.07098319-0.03180215j, -0.18400401+0.20097617j,
            0.49910461+0.18723512j, -0.47773386-0.6382077j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.47773386-0.6382077j ,  0.49910461+0.18723512j,
           -0.18400401+0.20097617j, -0.07098319-0.03180215j],
          [ 0.49910461+0.18723512j,  0.46242935+0.02626058j,
            0.08039413+0.64853293j, -0.18400401+0.20097617j],
          [-0.18400401+0.20097617j,  0.08039413+0.64853293j,
            0.46242935+0.02626058j,  0.49910461+0.18723512j],
          [-0.07098319-0.03180215j, -0.18400401+0.20097617j,
            0.49910461+0.18723512j, -0.47773386-0.6382077j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.47773386-0.6382077j ,  0.49910461+0.18723512j,
           -0.18400401+0.20097617j, -0.07098319-0.03180215j],
          [ 0.49910461+0.18723512j,  0.46242935+0.02626058j,
            0.08039413+0.64853293j, -0.18400401+0.20097617j],
          [-0.18400401+0.20097617j,  0.08039413+0.64853293j,
            0.46242935+0.02626058j,  0.49910461+0.18723512j],
          [-0.07098319-0.03180215j, -0.18400401+0.20097617j,
            0.49910461+0.18723512j, -0.47773386-0.6382077j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
