num_of_intervals,total_time,drift_parameter,taylor_truncate_len,avg_infidelity
1.0,3.0,1.0,20.0,0.22135620505809328
1.0,3.5,1.0,20.0,0.21141815850536028
1.0,4.0,1.0,20.0,0.2891343717265399
1.0,4.5,1.0,20.0,0.33110009067631496
1.0,5.0,1.0,20.0,0.3489737151489727
1.0,5.5,1.0,20.0,0.41881605358375074
1.0,6.0,1.0,20.0,0.3683533656940995
1.0,6.5,1.0,20.0,0.30712384394370884
1.0,7.0,1.0,20.0,0.3039247480866336
2.0,3.0,1.0,20.0,0.0797662856468404
2.0,3.5,1.0,20.0,0.06807064898171933
2.0,4.0,1.0,20.0,0.06575436059392781
2.0,4.5,1.0,20.0,0.04165445577493454
2.0,5.0,1.0,20.0,0.055229951071706695
2.0,5.5,1.0,20.0,0.156064521844559
2.0,6.0,1.0,20.0,0.1043204122074799
2.0,6.5,1.0,20.0,0.05183957692221741
2.0,7.0,1.0,20.0,0.07809860222539267
3.0,3.0,1.0,20.0,0.01307180402923902
3.0,3.5,1.0,20.0,0.010569321058656711
3.0,4.0,1.0,20.0,0.005707332569701129
3.0,4.5,1.0,20.0,0.00426070475726148
3.0,5.0,1.0,20.0,0.006194546768726994
3.0,5.5,1.0,20.0,0.005945394611435062
3.0,6.0,1.0,20.0,0.00516537256416405
3.0,6.5,1.0,20.0,0.006690100377647168
3.0,7.0,1.0,20.0,0.003149721264268157
4.0,3.0,1.0,20.0,0.008231264028200291
4.0,3.5,1.0,20.0,0.002256543296770941
4.0,4.0,1.0,20.0,0.0004380119072152633
4.0,4.5,1.0,20.0,1.5522472196494164e-11
4.0,5.0,1.0,20.0,8.972933507322978e-12
4.0,5.5,1.0,20.0,5.225679485021395e-05
4.0,6.0,1.0,20.0,2.1822543772032077e-12
4.0,6.5,1.0,20.0,1.9090728997639417e-11
4.0,7.0,1.0,20.0,1.1201040095443204e-11
5.0,3.0,1.0,20.0,0.009021239591349817
5.0,3.5,1.0,20.0,0.00020689154850317415
5.0,4.0,1.0,20.0,2.277087063418115e-05
5.0,4.5,1.0,20.0,7.173150962103136e-13
5.0,5.0,1.0,20.0,1.7827961329430764e-12
5.0,5.5,1.0,20.0,6.654676809603188e-13
5.0,6.0,1.0,20.0,4.509725926027386e-13
5.0,6.5,1.0,20.0,7.862599460395359e-13
5.0,7.0,1.0,20.0,5.183631301974856e-13
6.0,3.0,1.0,20.0,0.0039077651697111415
6.0,3.5,1.0,20.0,0.001770309139992876
6.0,4.0,1.0,20.0,1.8510304400365385e-11
6.0,4.5,1.0,20.0,1.873168287147564e-12
6.0,5.0,1.0,20.0,6.309397448944765e-13
6.0,5.5,1.0,20.0,7.421840919619171e-13
6.0,6.0,1.0,20.0,4.739542092124793e-13
6.0,6.5,1.0,20.0,9.240386233955178e-13
6.0,7.0,1.0,20.0,3.3950620093037287e-13
7.0,3.0,1.0,20.0,0.005143281053163529
7.0,3.5,1.0,20.0,3.871761291984743e-05
7.0,4.0,1.0,20.0,8.192890810221343e-12
7.0,4.5,1.0,20.0,2.9878322038712213e-12
7.0,5.0,1.0,20.0,8.542055951465954e-13
7.0,5.5,1.0,20.0,2.2082335959794364e-13
7.0,6.0,1.0,20.0,4.346523141407488e-13
7.0,6.5,1.0,20.0,5.865308239094702e-13
7.0,7.0,1.0,20.0,2.857714065385153e-13
