num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
1.0,3.0,1.0,20.0,0.0,0.0,-0.2689835863426973
1.0,3.0,1.0,20.0,1.0,0.0,-0.2689835862687848
1.0,3.0,1.0,20.0,2.0,0.0,-0.26898358623977847
1.0,3.0,1.0,20.0,3.0,0.0,-0.20523738792878712
1.0,3.0,1.0,20.0,4.0,0.0,-0.40708323470182245
1.0,3.0,1.0,20.0,5.0,0.0,-0.40708323470373214
1.0,3.0,1.0,20.0,6.0,0.0,-0.26898358626959784
1.0,3.0,1.0,20.0,7.0,0.0,-0.26898358633966296
1.0,3.0,1.0,20.0,8.0,0.0,-0.26898358627263697
1.0,3.0,1.0,20.0,9.0,0.0,-0.4070832347272428
1.0,3.0,1.0,20.0,0.0,1.0,-0.2918852660423145
1.0,3.0,1.0,20.0,1.0,1.0,-0.29188526603813253
1.0,3.0,1.0,20.0,2.0,1.0,-0.18948525852945566
1.0,3.0,1.0,20.0,3.0,1.0,-0.2918852660368104
1.0,3.0,1.0,20.0,4.0,1.0,-0.291885266040868
1.0,3.0,1.0,20.0,5.0,1.0,-0.2918852660383486
1.0,3.0,1.0,20.0,6.0,1.0,-0.29188526603969933
1.0,3.0,1.0,20.0,7.0,1.0,-0.29188526603821674
1.0,3.0,1.0,20.0,8.0,1.0,-0.18948525853186293
1.0,3.0,1.0,20.0,9.0,1.0,-0.2918852660383709
1.0,3.0,1.0,20.0,0.0,2.0,-0.2855782409931831
1.0,3.0,1.0,20.0,1.0,2.0,-0.2855782409890193
1.0,3.0,1.0,20.0,2.0,2.0,-0.17655242174804012
1.0,3.0,1.0,20.0,3.0,2.0,-0.17655242174694474
1.0,3.0,1.0,20.0,4.0,2.0,-0.11557036742527914
1.0,3.0,1.0,20.0,5.0,2.0,-0.11557036742527914
1.0,3.0,1.0,20.0,6.0,2.0,-0.28557824098946993
1.0,3.0,1.0,20.0,7.0,2.0,-0.2855782409928564
1.0,3.0,1.0,20.0,8.0,2.0,-0.2855782409934548
1.0,3.0,1.0,20.0,9.0,2.0,-0.11557036742527914
1.0,3.0,1.0,20.0,0.0,3.0,-0.05840037841182357
1.0,3.0,1.0,20.0,1.0,3.0,-0.058400378147050507
1.0,3.0,1.0,20.0,2.0,3.0,-0.017246981786196394
1.0,3.0,1.0,20.0,3.0,3.0,-0.017246981034863405
1.0,3.0,1.0,20.0,4.0,3.0,-0.013319200904774552
1.0,3.0,1.0,20.0,5.0,3.0,-0.05840037837346333
1.0,3.0,1.0,20.0,6.0,3.0,-0.058400378423520284
1.0,3.0,1.0,20.0,7.0,3.0,-0.05840037842335764
