num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
8.0,3.0,1.0,20.0,0.0,0.0,-0.8794581327390831
8.0,3.0,1.0,20.0,1.0,0.0,-0.5127822482198185
8.0,3.0,1.0,20.0,2.0,0.0,-0.8632842906245511
8.0,3.0,1.0,20.0,3.0,0.0,-0.8948731150922623
8.0,3.0,1.0,20.0,4.0,0.0,-0.5231372074168421
8.0,3.0,1.0,20.0,5.0,0.0,-0.8710506418222737
8.0,3.0,1.0,20.0,6.0,0.0,-0.8092509713046071
8.0,3.0,1.0,20.0,7.0,0.0,-0.7745565430139334
8.0,3.0,1.0,20.0,8.0,0.0,-0.6215906436168482
8.0,3.0,1.0,20.0,9.0,0.0,-0.3917333393252257
8.0,3.0,1.0,20.0,0.0,1.0,-0.8776346530179382
8.0,3.0,1.0,20.0,1.0,1.0,-0.39388624068331407
8.0,3.0,1.0,20.0,2.0,1.0,-0.8688154630750626
8.0,3.0,1.0,20.0,3.0,1.0,-0.6692070994116059
8.0,3.0,1.0,20.0,4.0,1.0,-0.6529398842725433
8.0,3.0,1.0,20.0,5.0,1.0,-0.6678345137128112
8.0,3.0,1.0,20.0,6.0,1.0,-0.8737864641664841
8.0,3.0,1.0,20.0,7.0,1.0,-0.8760357899604477
8.0,3.0,1.0,20.0,8.0,1.0,-0.3465200432338425
8.0,3.0,1.0,20.0,9.0,1.0,-0.8730225942254055
8.0,3.0,1.0,20.0,0.0,2.0,-0.5065018005053515
8.0,3.0,1.0,20.0,1.0,2.0,-0.9435707612899363
8.0,3.0,1.0,20.0,2.0,2.0,-0.9440408745596192
8.0,3.0,1.0,20.0,3.0,2.0,-0.950868457940666
8.0,3.0,1.0,20.0,4.0,2.0,-0.9416720913447231
8.0,3.0,1.0,20.0,5.0,2.0,-0.9399632336446673
8.0,3.0,1.0,20.0,6.0,2.0,-0.9341108890548606
8.0,3.0,1.0,20.0,7.0,2.0,-0.9399653386565875
8.0,3.0,1.0,20.0,8.0,2.0,-0.7234171202142193
8.0,3.0,1.0,20.0,9.0,2.0,-0.8340440442071335
8.0,3.0,1.0,20.0,0.0,3.0,-0.9143735385421636
8.0,3.0,1.0,20.0,1.0,3.0,-0.8397223221571908
8.0,3.0,1.0,20.0,2.0,3.0,-0.8781187503480687
8.0,3.0,1.0,20.0,3.0,3.0,-0.8693223121672607
8.0,3.0,1.0,20.0,4.0,3.0,-0.7255625427804143
8.0,3.0,1.0,20.0,5.0,3.0,-0.8997522808656735
8.0,3.0,1.0,20.0,6.0,3.0,-0.9152599849549967
8.0,3.0,1.0,20.0,7.0,3.0,-0.7841977316985207
8.0,3.0,1.0,20.0,8.0,3.0,-0.871737749241697
8.0,3.0,1.0,20.0,9.0,3.0,-0.8504472374241483
8.0,3.0,1.0,20.0,0.0,4.0,-0.6362196218869205
8.0,3.0,1.0,20.0,1.0,4.0,-0.7106833278521166
8.0,3.0,1.0,20.0,2.0,4.0,-0.3829286611228552
8.0,3.0,1.0,20.0,3.0,4.0,-0.666755398399928
8.0,3.0,1.0,20.0,4.0,4.0,-0.1423474618357101
8.0,3.0,1.0,20.0,5.0,4.0,-0.7761294845161885
8.0,3.0,1.0,20.0,6.0,4.0,-0.413882641694313
8.0,3.0,1.0,20.0,7.0,4.0,-0.8041415705995736
8.0,3.0,1.0,20.0,8.0,4.0,-0.17243037045484458
8.0,3.0,1.0,20.0,9.0,4.0,-0.45144552031922497
8.0,3.0,1.0,20.0,0.0,5.0,-0.46346448508564525
8.0,3.0,1.0,20.0,1.0,5.0,-0.5925323059590636
8.0,3.0,1.0,20.0,2.0,5.0,-0.7002715189907311
8.0,3.0,1.0,20.0,3.0,5.0,-0.700271519263215
8.0,3.0,1.0,20.0,4.0,5.0,-0.4343956098950115
8.0,3.0,1.0,20.0,5.0,5.0,-0.39138342921657543
8.0,3.0,1.0,20.0,6.0,5.0,-0.6478673608424145
8.0,3.0,1.0,20.0,7.0,5.0,-0.4224754936700412
8.0,3.0,1.0,20.0,8.0,5.0,-0.5715570734020021
8.0,3.0,1.0,20.0,9.0,5.0,-0.4850060519028763
8.0,3.0,1.0,20.0,0.0,6.0,-0.5198727664362983
8.0,3.0,1.0,20.0,1.0,6.0,-0.4266094019508061
8.0,3.0,1.0,20.0,2.0,6.0,-0.3919050586038821
8.0,3.0,1.0,20.0,3.0,6.0,-0.8499175464353951
8.0,3.0,1.0,20.0,4.0,6.0,-0.7372772742966132
8.0,3.0,1.0,20.0,5.0,6.0,-0.5853694332092213
8.0,3.0,1.0,20.0,6.0,6.0,-0.5296066963862313
8.0,3.0,1.0,20.0,7.0,6.0,-0.6335886019982806
8.0,3.0,1.0,20.0,8.0,6.0,-0.39700249523384973
8.0,3.0,1.0,20.0,9.0,6.0,-0.7878988508114408
8.0,3.0,1.0,20.0,0.0,7.0,-0.31352397733877946
8.0,3.0,1.0,20.0,1.0,7.0,-0.24795162288801986
8.0,3.0,1.0,20.0,2.0,7.0,-0.6296804263146464
8.0,3.0,1.0,20.0,3.0,7.0,-0.34708178390426736
8.0,3.0,1.0,20.0,4.0,7.0,-0.3769840656689383
8.0,3.0,1.0,20.0,5.0,7.0,-0.6296804263190269
8.0,3.0,1.0,20.0,6.0,7.0,-0.580439691908915
8.0,3.0,1.0,20.0,7.0,7.0,-0.37811962607611044
8.0,3.0,1.0,20.0,8.0,7.0,-0.1507549301494769
8.0,3.0,1.0,20.0,9.0,7.0,-0.36187660962825946
8.0,3.0,1.0,20.0,0.0,8.0,-0.5361966756636103
8.0,3.0,1.0,20.0,1.0,8.0,-0.5836386698628245
8.0,3.0,1.0,20.0,2.0,8.0,-0.5533755866177
8.0,3.0,1.0,20.0,3.0,8.0,-0.6100784409813064
8.0,3.0,1.0,20.0,4.0,8.0,-0.5157419958354699
8.0,3.0,1.0,20.0,5.0,8.0,-0.6188375604061503
8.0,3.0,1.0,20.0,6.0,8.0,-0.6257191563347075
8.0,3.0,1.0,20.0,7.0,8.0,-0.6235981030918626
8.0,3.0,1.0,20.0,8.0,8.0,-0.5140509823192825
8.0,3.0,1.0,20.0,9.0,8.0,-0.35584584467913183
8.0,3.0,1.0,20.0,0.0,9.0,-0.35355366984126824
8.0,3.0,1.0,20.0,1.0,9.0,-0.6143350491841346
8.0,3.0,1.0,20.0,2.0,9.0,-0.6252108791244891
8.0,3.0,1.0,20.0,3.0,9.0,-0.6427071207487145
8.0,3.0,1.0,20.0,4.0,9.0,-0.6565124582958192
8.0,3.0,1.0,20.0,5.0,9.0,-0.6522828875577257
8.0,3.0,1.0,20.0,6.0,9.0,-0.4835674868447552
