num_of_intervals,total_time,drift_parameter,taylor_truncate_len,avg_infidelity
8.0,3.0,1.0,20.0,0.20951211117463997
8.0,4.0,1.0,20.0,0.07875416968980997
8.0,5.0,1.0,20.0,0.026777413844759068
8.0,6.0,1.0,20.0,0.011221474902139539
8.0,7.0,1.0,20.0,0.000291814600916096
8.0,8.0,1.0,20.0,0.00022486214640626834
8.0,9.0,1.0,20.0,5.203588671065518e-10
8.0,10.0,1.0,20.0,1.1479905914768551e-10
9.0,3.0,1.0,20.0,0.2095697715296978
9.0,4.0,1.0,20.0,0.07251433311922795
9.0,5.0,1.0,20.0,0.021008628329726164
9.0,6.0,1.0,20.0,0.001134633018127551
9.0,7.0,1.0,20.0,1.191882148532386e-10
9.0,8.0,1.0,20.0,4.543010412305648e-11
9.0,9.0,1.0,20.0,2.5552004956352903e-11
9.0,10.0,1.0,20.0,1.518818404377953e-11
10.0,3.0,1.0,20.0,0.20540626788002236
10.0,4.0,1.0,20.0,0.059881931172763636
10.0,5.0,1.0,20.0,0.009021877618093255
10.0,6.0,1.0,20.0,0.0008220253224019425
10.0,7.0,1.0,20.0,8.17863887725423e-09
10.0,8.0,1.0,20.0,1.8882340135917275e-11
10.0,9.0,1.0,20.0,2.263822462822418e-11
10.0,10.0,1.0,20.0,1.0370926339930975e-11
11.0,3.0,1.0,20.0,0.19822969415071445
11.0,4.0,1.0,20.0,0.06675440094532148
11.0,5.0,1.0,20.0,0.013368800774607004
11.0,6.0,1.0,20.0,1.8318777985193435e-05
11.0,7.0,1.0,20.0,6.754685699661422e-11
11.0,8.0,1.0,20.0,2.6293855981407432e-11
11.0,9.0,1.0,20.0,8.196998635412456e-12
11.0,10.0,1.0,20.0,5.078937270752704e-12
12.0,3.0,1.0,20.0,0.19729267899073055
12.0,4.0,1.0,20.0,0.07220889890697646
12.0,5.0,1.0,20.0,0.014472114750754272
12.0,6.0,1.0,20.0,2.369000551283307e-10
12.0,7.0,1.0,20.0,2.470712523461316e-11
12.0,8.0,1.0,20.0,1.121891468613967e-11
12.0,9.0,1.0,20.0,5.901723554302407e-12
12.0,10.0,1.0,20.0,7.660871936820968e-12
13.0,3.0,1.0,20.0,0.19778963384471115
13.0,4.0,1.0,20.0,0.06416416805504976
13.0,5.0,1.0,20.0,0.010560058362085956
13.0,6.0,1.0,20.0,1.6697021543166102e-10
13.0,7.0,1.0,20.0,2.593714132359537e-11
13.0,8.0,1.0,20.0,3.760702860233778e-11
13.0,9.0,1.0,20.0,1.0930589766644516e-11
13.0,10.0,1.0,20.0,9.60720392129133e-12
14.0,3.0,1.0,20.0,0.19571716276313578
14.0,4.0,1.0,20.0,0.07078437334982701
14.0,5.0,1.0,20.0,0.011072953069293567
14.0,6.0,1.0,20.0,0.000552029347302585
14.0,7.0,1.0,20.0,3.8433478621868744e-11
14.0,8.0,1.0,20.0,1.6330270469211428e-11
14.0,9.0,1.0,20.0,8.842704346534447e-12
14.0,10.0,1.0,20.0,1.2928991210969798e-11
15.0,3.0,1.0,20.0,0.1956570115525249
15.0,4.0,1.0,20.0,0.06429968039406242
15.0,5.0,1.0,20.0,0.008443585098024342
15.0,6.0,1.0,20.0,1.2088907652696435e-10
15.0,7.0,1.0,20.0,4.7650217105399406e-11
15.0,8.0,1.0,20.0,2.568378842937591e-11
15.0,9.0,1.0,20.0,2.5192292696374352e-11
15.0,10.0,1.0,20.0,7.342015884148623e-12
