num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
1.0,3.0,1.0,10.0,0.0,0.0,-0.8596006504513573
1.0,3.0,1.0,10.0,1.0,0.0,-0.8596006504513577
1.0,3.0,1.0,10.0,2.0,0.0,-0.8808115895176277
1.0,3.0,1.0,10.0,3.0,0.0,-0.8808115895179661
1.0,3.0,1.0,10.0,4.0,0.0,-0.7094731820219843
1.0,3.0,1.0,10.0,5.0,0.0,-0.8596006504513581
1.0,3.0,1.0,10.0,6.0,0.0,-0.8596006504513581
1.0,3.0,1.0,10.0,7.0,0.0,-0.8596006504513581
1.0,3.0,1.0,10.0,8.0,0.0,-0.8596006504513577
1.0,3.0,1.0,10.0,9.0,0.0,-0.7094731820219843
1.0,3.0,1.0,10.0,0.0,1.0,-0.35231208160256494
1.0,3.0,1.0,10.0,1.0,1.0,-0.35231208160206584
1.0,3.0,1.0,10.0,2.0,1.0,-0.24442969310860058
1.0,3.0,1.0,10.0,3.0,1.0,-0.2444296931095858
1.0,3.0,1.0,10.0,4.0,1.0,-0.3523120815960666
1.0,3.0,1.0,10.0,5.0,1.0,-0.35231208160256694
1.0,3.0,1.0,10.0,6.0,1.0,-0.35231208160256694
1.0,3.0,1.0,10.0,7.0,1.0,-0.35231208160234695
1.0,3.0,1.0,10.0,8.0,1.0,-0.2444296931067394
1.0,3.0,1.0,10.0,9.0,1.0,-0.3523120816005654
1.0,3.0,1.0,10.0,0.0,2.0,-0.04963241688734048
1.0,3.0,1.0,10.0,1.0,2.0,-0.04963241688737496
1.0,3.0,1.0,10.0,2.0,2.0,-0.049632416887370294
1.0,3.0,1.0,10.0,3.0,2.0,-0.10916283686000079
1.0,3.0,1.0,10.0,4.0,2.0,-0.111496757470107
1.0,3.0,1.0,10.0,5.0,2.0,-0.11149675735903147
1.0,3.0,1.0,10.0,6.0,2.0,-0.049632416887376386
1.0,3.0,1.0,10.0,7.0,2.0,-0.049632416875940305
1.0,3.0,1.0,10.0,8.0,2.0,-0.049632416822116214
1.0,3.0,1.0,10.0,9.0,2.0,-0.11149675735903147
1.0,3.0,1.0,10.0,0.0,3.0,-0.4323622334798742
1.0,3.0,1.0,10.0,1.0,3.0,-0.5530677099507053
1.0,3.0,1.0,10.0,2.0,3.0,-0.5530677099507053
1.0,3.0,1.0,10.0,3.0,3.0,-0.1259073943503003
1.0,3.0,1.0,10.0,4.0,3.0,-0.43236223346623914
1.0,3.0,1.0,10.0,5.0,3.0,-0.43236223347930636
1.0,3.0,1.0,10.0,6.0,3.0,-0.5530677099507053
1.0,3.0,1.0,10.0,7.0,3.0,-0.4323622334776914
1.0,3.0,1.0,10.0,8.0,3.0,-0.5530677099507053
1.0,3.0,1.0,10.0,9.0,3.0,-0.43236223347987374
1.0,3.0,1.0,10.0,0.0,4.0,-0.47560369082660164
1.0,3.0,1.0,10.0,1.0,4.0,-0.4756036908276394
1.0,3.0,1.0,10.0,2.0,4.0,-0.5259989926274434
1.0,3.0,1.0,10.0,3.0,4.0,-0.5259989926258258
1.0,3.0,1.0,10.0,4.0,4.0,-0.0802355864407846
1.0,3.0,1.0,10.0,5.0,4.0,-0.4756036908276394
1.0,3.0,1.0,10.0,6.0,4.0,-0.4756036908276394
1.0,3.0,1.0,10.0,7.0,4.0,-0.4756036908276396
1.0,3.0,1.0,10.0,8.0,4.0,-0.525998992627381
